"#7-Brian Simo-E               #92-Brian Keselowski-E                #51-Erik Darnell-E               #35-Steve Park-E"
"-","-","","-","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","","00-34"
"","","13","","35-54"
"","","14","","55-74"
"","","15","","75-94"
"","","16","","95-96"
"","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"","","TR","","97-99"
"Qualify Rating","E"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","0"
"-","-","","E","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","",""
"","","13","",""
"","","14","",""
"","","15","",""
"","","16","00-39",""
"","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"","","TR","95-99",""
"Qualify Rating","A"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","1"
"E","-","","-","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","",""
"","","13","",""
"00-39","","14","",""
"40-59","","15","",""
"60-79","","16","",""
"80-94","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"95-99","","TR","",""
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","2"
"Top 5","0","","DNF","2"
"-","-","","E","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","",""
"","","13","",""
"","","14","",""
"","","15","",""
"","","16","00-39",""
"","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"","","TR","95-99",""
"Qualify Rating","D"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","1"
