"#47-Bobby Labonte-C              #34-David Gilliland-D            #13-Casey Mears-D           #36-Dave Blaney-D"
"C","C","","D","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-34"
"","50-69","13","","35-54"
"00-29","70-89","14","","55-74"
"30-49","90-97","15","","75-94"
"50-69","","16","00-34","95-97"
"70-89","","17","35-54",""
"90-97","","18","55-74",""
"","","19","75-94",""
"","","20","95-96",""
"98-99","98-99","TR","97-99","98-99"
"Qualify Rating","C"
"Trouble Rating","C"
"Poles","0","","Top 10","2"
"Wins","0","","Races","36"
"Top 5","1","","DNF","4"
"D","D","","A","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","","00-29"
"","55-74","13","","30-49"
"00-34","75-94","14","","50-69"
"35-54","95-97","15","","70-89"
"55-74","","16","00-19","90-96"
"75-94","","17","20-39",""
"95","","18","40-59",""
"","","19","60-79",""
"","","20","80-98",""
"96-99","98-99","TR","99","97-99"
"Qualify Rating","D"
"Trouble Rating","D"
"Poles","0","","Top 10","2"
"Wins","0","","Races","36"
"Top 5","1","","DNF","6"
"D","C","","D","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-29"
"","50-69","13","","30-49"
"00-34","70-89","14","","50-69"
"35-54","90-97","15","","70-89"
"55-74","","16","00-34","90-97"
"75-94","","17","35-54",""
"","","18","55-74",""
"","","19","75-94",""
"","","20","95-97",""
"95","98-99","TR","98-99","98-99"
"Qualify Rating","D"
"Trouble Rating","D"
"Poles","0","","Top 10","0"
"Wins","0","","Races","35"
"Top 5","0","","DNF","8"
"D","C","","D","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-34"
"","50-69","13","","35-54"
"00-34","70-89","14","","55-74"
"35-54","90-97","15","","75-94"
"55-74","","16","00-34","95-97"
"75-94","","17","35-54",""
"95","","18","55-74",""
"","","19","75-94",""
"","","20","95",""
"96-99","98-99","TR","96-99","98-99"
"Qualify Rating","E"
"Trouble Rating","D"
"Poles","0","","Top 10","1"
"Wins","0","","Races","35"
"Top 5","1","","DNF","8"
