"#33-Clint Bowyer-B             #4-Kasey Kahne-B             #43-A J Allmendinger-B                 #16-Greg Biffle-B"
"B","C","","A","A"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-19"
"","50-69","13","","20-39"
"00-24","70-89","14","","40-59"
"25-44","90-97","15","","60-79"
"45-64","","16","00-19","80-98"
"65-84","","17","20-39",""
"85-95","","18","40-59",""
"","","19","60-79",""
"","","20","80-96",""
"96-99","98-99","TR","97-99","99"
"Qualify Rating","B"
"Trouble Rating","D"
"Poles","0","","Top 10","16"
"Wins","1","","Races","36"
"Top 5","4","","DNF","6"
"A","C","","B","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-29"
"","50-69","13","","30-49"
"00-19","70-89","14","","50-69"
"20-39","90-96","15","","70-89"
"40-59","","16","00-24","90-97"
"60-79","","17","25-44",""
"80-96","","18","45-64",""
"","","19","65-84",""
"","","20","85-98",""
"97-99","97-99","TR","99","98-99"
"Qualify Rating","A"
"Trouble Rating","C"
"Poles","2","","Top 10","15"
"Wins","1","","Races","36"
"Top 5","8","","DNF","4"
"B","B","","A","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-24"
"","45-64","13","","25-44"
"00-24","65-84","14","","45-64"
"25-44","85-98","15","","65-84"
"45-64","","16","00-19","85-98"
"65-84","","17","20-39",""
"85-97","","18","40-59",""
"","","19","60-79",""
"","","20","80-98",""
"98-99","99","TR","99","99"
"Qualify Rating","A"
"Trouble Rating","A"
"Poles","0","","Top 10","10"
"Wins","0","","Races","36"
"Top 5","1","","DNF","1"
"B","B","","B","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-29"
"","45-64","13","","30-49"
"00-24","65-84","14","","50-69"
"25-44","85-98","15","","70-89"
"45-64","","16","00-24","90-97"
"65-84","","17","25-44",""
"85-97","","18","45-64",""
"","","19","65-84",""
"","","20","85-96",""
"98-99","99","TR","97-99","98-99"
"Qualify Rating","B"
"Trouble Rating","A"
"Poles","3","","Top 10","10"
"Wins","0","","Races","36"
"Top 5","3","","DNF","2"
