"#27-Paul Menard-B           #56-Martin Truex Jr.-B             #9-Marcos Ambrose-B                 #31-Jeff Burton-B"
"B","D","","A","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","","00-29"
"","55-74","13","","30-49"
"00-24","75-94","14","","50-69"
"25-44","95-97","15","","70-89"
"45-64","","16","00-19","90-96"
"65-84","","17","20-39",""
"85-98","","18","40-59",""
"","","19","60-79",""
"","","20","80-98",""
"99","98-99","TR","99","97-99"
"Qualify Rating","A"
"Trouble Rating","A"
"Poles","0","","Top 10","8"
"Wins","1","","Races","36"
"Top 5","4","","DNF","2"
"B","C","","C","A"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-19"
"","50-69","13","","20-39"
"00-24","70-89","14","","40-59"
"25-44","90-97","15","","60-79"
"45-64","","16","00-29","80-98"
"65-84","","17","30-49",""
"85-97","","18","50-69",""
"","","19","70-89",""
"","","20","90-96",""
"98-99","98-99","TR","97-99","99"
"Qualify Rating","B"
"Trouble Rating","B"
"Poles","1","","Top 10","12"
"Wins","0","","Races","36"
"Top 5","3","","DNF","3"
"B","C","","E","A"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-19"
"","50-69","13","","20-39"
"00-24","70-89","14","","40-59"
"25-44","90-97","15","","60-79"
"45-64","","16","00-39","80-98"
"65-84","","17","40-59",""
"85-97","","18","60-79",""
"","","19","80-97",""
"","","20","",""
"98-99","98-99","TR","98-99","99"
"Qualify Rating","B"
"Trouble Rating","A"
"Poles","0","","Top 10","12"
"Wins","1","","Races","36"
"Top 5","5","","DNF","1"
"B","B","","B","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-24"
"","45-64","13","","25-44"
"00-24","65-84","14","","45-64"
"25-44","85-97","15","","65-84"
"45-64","","16","00-24","85-98"
"65-84","","17","25-44",""
"85-96","","18","45-64",""
"","","19","65-84",""
"","","20","85-96",""
"97-99","98-99","TR","97-99","99"
"Qualify Rating","C"
"Trouble Rating","B"
"Poles","0","","Top 10","5"
"Wins","0","","Races","36"
"Top 5","2","","DNF","3"
