"#83-Brian Vickers-C           #78-Regan Smith-C            #1-Jamie McMurray-C              #00-David Reutimann-C"
"B","C","","C","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-29"
"","50-69","13","","30-49"
"00-24","70-89","14","","50-69"
"25-44","90-97","15","","70-89"
"45-64","","16","00-29","90-97"
"65-84","","17","30-49",""
"85-97","","18","50-69",""
"","","19","70-89",""
"","","20","90-97",""
"98-99","98-99","TR","98-99","98-99"
"Qualify Rating","C"
"Trouble Rating","A"
"Poles","0","","Top 10","7"
"Wins","0","","Races","36"
"Top 5","3","","DNF","2"
"C","C","","C","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","","00-24"
"","50-69","13","","25-44"
"00-29","70-89","14","","45-64"
"30-49","90-97","15","","65-84"
"50-69","","16","00-29","85-98"
"70-89","","17","30-49",""
"90-96","","18","50-69",""
"","","19","70-89",""
"","","20","90-96",""
"97-99","98-99","TR","97-99","99"
"Qualify Rating","A"
"Trouble Rating","C"
"Poles","0","","Top 10","5"
"Wins","1","","Races","36"
"Top 5","2","","DNF","4"
"C","B","","D","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-24"
"","45-64","13","","25-44"
"00-29","65-84","14","","45-64"
"30-49","85-97","15","","65-84"
"50-69","","16","00-34","85-98"
"70-89","","17","35-54",""
"90-95","","18","55-74",""
"","","19","75-94",""
"","","20","95-97",""
"96-99","98-99","TR","98-99","99"
"Qualify Rating","B"
"Trouble Rating","C"
"Poles","1","","Top 10","4"
"Wins","0","","Races","36"
"Top 5","2","","DNF","5"
"C","D","","C","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","","00-29"
"","55-74","13","","30-49"
"00-29","75-94","14","","50-69"
"30-49","95-97","15","","70-89"
"50-69","","16","00-29","90-96"
"70-89","","17","30-49",""
"90-97","","18","50-69",""
"","","19","70-89",""
"","","20","90-97",""
"98-99","98-99","TR","98-99","97-99"
"Qualify Rating","C"
"Trouble Rating","A"
"Poles","1","","Top 10","3"
"Wins","0","","Races","36"
"Top 5","1","","DNF","2"
