"#42-Juan Pablo Montoya-C                    #5-Mark Martin-B              #6-David Ragan-C            #20-Joey Logano-B"
"C","B","","B","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-24"
"","45-64","13","","25-44"
"00-29","65-84","14","","45-64"
"30-49","85-97","15","","65-84"
"50-69","","16","00-24","85-98"
"70-89","","17","25-44",""
"90-98","","18","45-64",""
"","","19","65-84",""
"","","20","85-98",""
"99","98-99","TR","99","99"
"Qualify Rating","C"
"Trouble Rating","A"
"Poles","2","","Top 10","8"
"Wins","0","","Races","36"
"Top 5","2","","DNF","0"
"B","B","","B","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-29"
"","45-64","13","","30-49"
"00-24","65-84","14","","50-69"
"25-44","85-97","15","","70-89"
"45-64","","16","00-24","90-97"
"65-84","","17","25-44",""
"85-96","","18","45-64",""
"","","19","65-84",""
"","","20","85-98",""
"97-99","98-99","TR","99","98-99"
"Qualify Rating","B"
"Trouble Rating","B"
"Poles","2","","Top 10","10"
"Wins","0","","Races","36"
"Top 5","2","","DNF","3"
"C","B","","C","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-34"
"","45-64","13","","35-54"
"00-29","65-84","14","","55-74"
"30-49","85-98","15","","75-94"
"50-69","","16","00-29","95-96"
"70-89","","17","30-49",""
"90-96","","18","50-69",""
"","","19","70-89",""
"","","20","90-96",""
"97-99","99","TR","97-99","97-99"
"Qualify Rating","B"
"Trouble Rating","C"
"Poles","2","","Top 10","8"
"Wins","1","","Races","36"
"Top 5","4","","DNF","5"
"C","B","","A","A"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-24","11","",""
"","25-44","12","","00-19"
"","45-64","13","","20-39"
"00-29","65-84","14","","40-59"
"30-49","85-97","15","","60-79"
"50-69","","16","00-19","80-98"
"70-89","","17","20-39",""
"90-97","","18","40-59",""
"","","19","60-79",""
"","","20","80-98",""
"98-99","98-99","TR","99","99"
"Qualify Rating","B"
"Trouble Rating","B"
"Poles","2","","Top 10","6"
"Wins","0","","Races","36"
"Top 5","4","","DNF","3"
