"#71-Andy Lally-D             #7-Robby Gordon-D              #38-J.J. Yeley-D              #66-Michael McDowell-E"
"D","D","","E","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","","00-34"
"","55-74","13","","35-54"
"00-34","75-94","14","","55-74"
"35-54","95-97","15","","75-94"
"55-74","","16","00-39","95-96"
"75-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-96",""
"","","20","",""
"95-99","98-99","TR","97-99","97-99"
"Qualify Rating","E"
"Trouble Rating","C"
"Poles","0","","Top 10","0"
"Wins","0","","Races","30"
"Top 5","0","","DNF","4"
"D","E","","E","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","","00-29"
"","60-79","13","","30-49"
"00-34","80-94","14","","50-69"
"35-54","","15","","70-89"
"55-74","","16","00-39","90-97"
"75-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-96",""
"","","20","",""
"95-99","95-99","TR","97-99","98-99"
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","25"
"Top 5","0","","DNF","14"
"D","E","","E","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","","00-39"
"","60-79","13","","40-59"
"00-34","80-94","14","","60-79"
"35-54","","15","","80-94"
"55-74","","16","00-39",""
"75-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"95-99","95-99","TR","95-99","95-99"
"Qualify Rating","D"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","31"
"Top 5","0","","DNF","24"
"E","E","","E","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","","00-39"
"","60-79","13","","40-59"
"00-39","80-94","14","","60-79"
"40-59","","15","","80-96"
"60-79","","16","00-39",""
"80-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"95-99","95-99","TR","95-99","97-99"
"Qualify Rating","D"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","32"
"Top 5","0","","DNF","29"
