"#37-Tony Raines-E            #32-Ken Schrader-E           #23-Terry Labonte-E               #51-Bill Elliott-E"
"D","D","","-","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","",""
"","55-74","13","",""
"00-34","75-94","14","",""
"35-54","95-97","15","",""
"55-74","","16","",""
"75-94","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"95-99","98-99","TR","",""
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","12"
"Top 5","0","","DNF","5"
"D","C","","-","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","",""
"","50-69","13","",""
"00-34","70-89","14","",""
"35-54","90-97","15","",""
"55-74","","16","",""
"75-94","","17","",""
"95-98","","18","",""
"","","19","",""
"","","20","",""
"99","98-99","TR","",""
"Qualify Rating","E"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","7"
"Top 5","0","","DNF","0"
"E","D","","E","D"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","","00-34"
"","55-74","13","","35-54"
"00-39","75-94","14","","55-74"
"40-59","95-97","15","","75-94"
"60-79","","16","00-39","95-96"
"80-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-96",""
"","","20","",""
"95-99","98-99","TR","97-99","97-99"
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","8"
"Top 5","0","","DNF","3"
"D","D","","C","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","",""
"","55-74","13","",""
"00-34","75-94","14","",""
"35-54","95-96","15","",""
"55-74","","16","00-29",""
"75-94","","17","30-49",""
"95-97","","18","50-69",""
"","","19","70-89",""
"","","20","90-97",""
"98-99","97-99","TR","98-99",""
"Qualify Rating","D"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","5"
"Top 5","0","","DNF","0"
