"#11-Denny Hamlin-A              #39-Ryan Newman-A                 #22-Kurt Busch-A               #18-Kyle Busch-A"
"B","A","","A","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-19","11","",""
"","20-39","12","","00-39"
"","40-59","13","","40-59"
"00-24","60-79","14","","60-79"
"25-44","80-98","15","","80-96"
"45-64","","16","00-19",""
"65-84","","17","20-39",""
"85-97","","18","40-59",""
"","","19","60-79",""
"","","20","80-98",""
"98-99","99","TR","99","97-99"
"Qualify Rating","B"
"Trouble Rating","A"
"Poles","0","","Top 10","14"
"Wins","1","","Races","36"
"Top 5","5","","DNF","2"
"A","A","","E","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-19","11","",""
"","20-39","12","","00-24"
"","40-59","13","","25-44"
"00-19","60-79","14","","45-64"
"20-39","80-98","15","","65-84"
"40-59","","16","00-39","85-97"
"60-79","","17","40-59",""
"80-98","","18","60-79",""
"","","19","80-97",""
"","","20","",""
"99","99","TR","98-99","98-99"
"Qualify Rating","A"
"Trouble Rating","A"
"Poles","3","","Top 10","17"
"Wins","1","","Races","36"
"Top 5","9","","DNF","0"
"A","A","","B","B"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-19","11","",""
"","20-39","12","","00-24"
"","40-59","13","","25-44"
"00-19","60-79","14","","45-64"
"20-39","80-98","15","","65-84"
"40-59","","16","00-24","85-96"
"60-79","","17","25-44",""
"80-97","","18","45-64",""
"","","19","65-84",""
"","","20","85-96",""
"98-99","99","TR","97-99","97-99"
"Qualify Rating","A"
"Trouble Rating","B"
"Poles","3","","Top 10","16"
"Wins","2","","Races","36"
"Top 5","8","","DNF","3"
"A","A","","C","A"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-19","11","",""
"","20-39","12","","00-19"
"","40-59","13","","20-39"
"00-19","60-79","14","","40-59"
"20-39","80-98","15","","60-79"
"40-59","","16","00-29","80-98"
"60-79","","17","30-49",""
"80-96","","18","50-69",""
"","","19","70-89",""
"","","20","90-96",""
"97-99","99","TR","97-99","99"
"Qualify Rating","B"
"Trouble Rating","C"
"Poles","2","","Top 10","18"
"Wins","4","","Races","35"
"Top 5","14","","DNF","4"
